year,month,symbol,sectorL2,cap,averageLiquidity21,averageLiquidity63,averageLiquidity252,grossProfitQoQ,roe,eps,pe,pb
2024,11,BVH,Insurance,31919878852000.0,273822.1905,445214.8571,530967.2262,0.6396,0.0865,2571.34,16.72,1.4
2024,11,SIP,Real Estate,15600525162300.0,250853.2857,321501.8254,309922.2937,0.2133,0.3052,5670.5,13.07,3.69
2024,11,VND,Financial Services,22149463661400.0,11074486.7619,11382869.2222,18695198.5198,0.3599,0.13,1716.48,8.48,1.14
2024,11,BCM,Real Estate,69448500000000.0,254030.0476,505603.3968,707792.3294,0.3245,0.1491,2692.59,24.92,3.63
2024,11,HAG,Food & Beverage,10944082579050.0,5464702.619,6317479.3016,13052308.5119,0.2633,0.2489,1841.81,5.62,1.31
2024,11,TCH,Real Estate,10791685864450.0,6685906.9048,7904865.9365,10207725.0714,0.5276,0.1152,1546.03,10.45,1.17
2024,12,GEX,Industrial Goods & Services,16157280108400.0,7063543.2381,5773398.8571,12631679.4921,0.1099,0.0805,1216.79,15.45,1.21
2024,12,OCB,Banks,26507233384000.0,3694704.4762,3749808.2063,2795963.3492,0.0593,0.1026,1243.3,8.65,0.87
2024,12,VHM,Real Estate,167582409763200.0,15713049.1905,14688602.4603,9836174.5556,0.1223,0.1086,4707.01,8.67,0.84
2024,12,LPB,Banks,82483129416000.0,1094692.4286,1941628.6032,4163714.0476,0.0627,0.2589,3837.65,8.4,2.03
2024,12,VHC,Food & Beverage,16340189975200.0,828111.6667,589796.619,805348.1865,0.2344,0.1023,3820.21,19.06,1.88
2024,12,GMD,Industrial Goods & Services,26784674802300.0,1168092.0952,963022.5238,1243992.3571,0.1387,0.1478,4196.97,15.42,2.95
2024,12,VCG,Construction & Materials,10415526169200.0,2844567.3333,3402872.8889,5000755.7817,0.2303,0.1027,1314.78,13.23,1.34
2024,12,PVS,Oil & Gas,16442040376000.0,2044196.0,2421797.8254,4457443.7659,0.3887,0.0701,1919.37,17.92,1.25
2024,12,BMP,Construction & Materials,10355408657000.0,188695.8571,259469.0794,223466.5675,0.1986,0.3644,12419.46,10.19,3.52
2024,12,VIX,Financial Services,14658057388650.0,17359787.0476,18822814.6825,23483668.1786,0.8933,0.0693,814.2,12.34,0.92
2024,12,SIP,Real Estate,16547925475800.0,566245.0952,366046.2698,350692.75,0.2133,0.3052,5670.5,13.86,3.92
